idna_adapter	1.2.2	Apache-2.0 OR MIT	https://github.com/hsivonen/idna_adapter	registry+https://github.com/rust-lang/crates.io-index
indexmap	2.14.0	Apache-2.0 OR MIT	https://github.com/indexmap-rs/indexmap	registry+https://github.com/rust-lang/crates.io-index
inout	0.1.4	MIT OR Apache-2.0	https://github.com/RustCrypto/utils	registry+https://github.com/rust-lang/crates.io-index
ipnet	2.12.0	MIT OR Apache-2.0	https://github.com/krisprice/ipnet	registry+https://github.com/rust-lang/crates.io-index
iri-string	0.7.12	MIT OR Apache-2.0	https://github.com/lo48576/iri-string	registry+https://github.com/rust-lang/crates.io-index
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0	https://github.com/polyfill-rs/is_terminal_polyfill	registry+https://github.com/rust-lang/crates.io-index
itertools	0.13.0	MIT OR Apache-2.0	https://github.com/rust-itertools/itertools	registry+https://github.com/rust-lang/crates.io-index
itertools	0.14.0	MIT OR Apache-2.0	https://github.com/rust-itertools/itertools	registry+https://github.com/rust-lang/crates.io-index
itoa	1.0.18	MIT OR Apache-2.0	https://github.com/dtolnay/itoa	registry+https://github.com/rust-lang/crates.io-index
jobserver	0.1.34	MIT OR Apache-2.0	https://github.com/rust-lang/jobserver-rs	registry+https://github.com/rust-lang/crates.io-index
js-sys	0.3.95	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys	registry+https://github.com/rust-lang/crates.io-index
lazy_static	1.5.0	MIT OR Apache-2.0	https://github.com/rust-lang-nursery/lazy-static.rs	registry+https://github.com/rust-lang/crates.io-index
libc	0.2.186	MIT OR Apache-2.0	https://github.com/rust-lang/libc	registry+https://github.com/rust-lang/crates.io-index
libloading	0.8.9	ISC	https://github.com/nagisa/rust_libloading/	registry+https://github.com/rust-lang/crates.io-index
libm	0.2.16	MIT	https://github.com/rust-lang/compiler-builtins	registry+https://github.com/rust-lang/crates.io-index
libredox	0.1.16	MIT	https://gitlab.redox-os.org/redox-os/libredox.git	registry+https://github.com/rust-lang/crates.io-index
libsqlite3-sys	0.28.0	MIT	https://github.com/rusqlite/rusqlite	registry+https://github.com/rust-lang/crates.io-index
lightgbm3	1.0.10	MIT	https://github.com/Mottl/lightgbm3-rs	registry+https://github.com/rust-lang/crates.io-index
lightgbm3-sys	1.0.8	MIT	https://github.com/Mottl/lightgbm3-rs	registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/sunfishcode/linux-raw-sys	registry+https://github.com/rust-lang/crates.io-index
litemap	0.8.2	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
lock_api	0.4.14	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot	registry+https://github.com/rust-lang/crates.io-index
log	0.4.29	MIT OR Apache-2.0	https://github.com/rust-lang/log	registry+https://github.com/rust-lang/crates.io-index
